node,distance
0,0
1,38
2,61
3,87
4,80
5,75
6,44
7,53
8,22
9,2
10,5
11,47
12,30
13,76
14,18
15,34
16,92
17,69
18,67
19,91
20,66
21,93
22,32
23,60
24,46
25,9
26,36
27,43
28,83
29,33
30,45
31,20
32,56
33,12
34,50
35,46
36,21
37,14
38,90
39,46
40,29
41,48
42,34
43,42
44,40
45,55
46,29
47,7
48,65
49,34
50,67
